st,CYQ,year,quarter,Initial_Claim,Weeks_Claimed,Weeks_Compensated,Exhaustions,Exhaustion_Rate,Exhaustion_Rate_Rank,Average_Duration,Average_Duration_Rank,IUR,IUR_Rank
AK,1971.1,1971,1,10203,96674,103709,1092,NA,NA,15.58362134,3216,NA,NA
AK,1971.2,1971,2,7353,69902,83458,1503,NA,NA,18.00894833,1115,NA,NA
AK,1971.3,1971,3,6630,33114,36386,937,0.530728775,627,17.84854291,1234,NA,NA
AK,1971.4,1971,4,11537,50261,54022,1073,0.443086693,1797,16.93563148,1901,NA,NA
AK,1972.1,1972,1,13462,99224,109668,1163,0.373333333,3580,16.13647487,2576,NA,NA
AK,1972.2,1972,2,8368,77910,91040,1361,0.276632093,7039,16.09531708,2631,NA,NA
AK,1972.3,1972,3,7712,40747,44304,1038,0.263786922,7462,16.36659187,2354,NA,NA
AK,1972.4,1972,4,13277,61990,64266,1398,0.27423011,7113,16.58327078,2168,NA,NA
AK,1973.1,1973,1,11786,98803,116007,1513,0.290624487,6511,17.11588937,1747,NA,NA
AK,1973.2,1973,2,6853,66941,85828,1386,0.286058981,6688,17.20457821,1677,NA,NA
AK,1973.3,1973,3,8571,40909,48151,1022,0.288449024,6596,16.83282447,1974,NA,NA
AK,1973.4,1973,4,14603,66087,81109,1192,0.283394302,6789,16.57215076,2176,NA,NA
AK,1974.1,1974,1,12843,106745,134666,1438,0.269859125,7263,16.94955173,1888,NA,NA
AK,1974.2,1974,2,8583,69241,88750,1538,0.259772761,7593,17.05314056,1798,NA,NA
AK,1974.3,1974,3,8190,41014,46113,949,0.247976739,8008,17.23375602,1647,NA,NA
AK,1974.4,1974,4,15709,63608,65416,941,0.235288429,8340,16.96611286,1875,NA,NA
AK,1975.1,1975,1,16222,102819,124877,1174,0.226186965,8530,15.85662733,2903,11.73534608,15
AK,1975.2,1975,2,12829,80959,98692,1332,0.222672475,8602,15.2206577,3651,7.282568216,137
AK,1975.3,1975,3,11308,60531,64747,1168,0.225056081,8551,15.09610789,3830,4.603065364,905
AK,1975.4,1975,4,25324,100509,101092,1207,0.221702398,8622,14.62730073,4487,7.960566647,91
AK,1976.1,1976,1,25811,159564,203999,1520,0.223071014,8594,14.45812504,4715,12.86706836,8
AK,1976.2,1976,2,19131,119231,152921,1865,0.216362407,8751,14.89851231,4078,7.746100508,106
AK,1976.3,1976,3,19970,97748,132203,1954,0.20199963,9017,15.08883833,3839,5.540588261,455
AK,1976.4,1976,4,37039,168614,166144,1982,0.208646831,8902,14.78457165,4270,10.39545696,26
AK,1977.1,1977,1,33541,257295,321508,2600,0.214771449,8797,15.73625479,3053,17.35235543,2
AK,1977.2,1977,2,27451,258709,247393,4099,0.239953972,8231,17.00853125,1835,14.96832865,6
AK,1977.3,1977,3,26175,189040,171021,4190,0.262095789,7510,17.68831017,1337,9.950212095,32
AK,1977.4,1977,4,36511,267093,211843,3843,0.288925062,6577,18.87336652,664,16.91233785,3
AK,1978.1,1978,1,31888,337750,295363,3923,0.3134273,5705,19.94354908,330,23.03688562,1
AK,1978.2,1978,2,22215,259968,229882,4451,0.32534851,5255,19.74536322,377,15.976303,4
AK,1978.3,1978,3,20345,176949,140378,3478,0.338166853,4759,19.62308793,415,10.69503299,23
AK,1978.4,1978,4,26634,203857,176667,3226,0.327846753,5163,19.55221802,437,13.36832082,7
AK,1979.1,1979,1,22000,264164,221703,2973,0.315949548,5616,19.41573204,477,15.47954453,5
AK,1979.2,1979,2,17159,197619,174692,3330,0.301933657,6120,18.98254576,622,10.50855227,25
AK,1979.3,1979,3,15886,137397,117142,2526,0.304511468,6015,18.714859,738,6.960020546,165
AK,1979.4,1979,4,22741,171818,140268,2280,0.295577905,6337,16.76466063,2016,9.315062255,44
AK,1980.1,1980,1,19553,221330,182201,2251,0.281643167,6846,16.66132357,2101,12.50276091,9
AK,1980.2,1980,2,16567,186920,145322,2597,0.247544809,8022,16.02204996,2709,9.650103718,36
AK,1980.3,1980,3,11555,142773,106970,2005,0.247708164,8018,16.09794421,2626,7.080894683,156
