st,CYQ,year,quarter,Extended_Benefit,EB_First_Payment,EB_Weeks_Claimed,EB_Exh
AK,1971.1,1971,1,0,0,0,0
AK,1971.2,1971,2,0,0,0,0
AK,1971.3,1971,3,0,0,0,0
AK,1971.4,1971,4,0,0,0,0
AK,1972.1,1972,1,0,0,0,0
AK,1972.2,1972,2,0,0,0,0
AK,1972.3,1972,3,0,0,0,0
AK,1972.4,1972,4,0,0,0,0
AK,1973.1,1973,1,0,0,0,0
AK,1973.2,1973,2,0,0,0,0
AK,1973.3,1973,3,0,0,0,0
AK,1973.4,1973,4,0,0,0,0
AK,1974.1,1974,1,56.183,275,755,0
AK,1974.2,1974,2,114.857,433,1993,2
AK,1974.3,1974,3,0.883,5,67,0
AK,1974.4,1974,4,0,0,0,0
AK,1975.1,1975,1,194.562,531,1993,5
AK,1975.2,1975,2,756.066,1379,7303,652
AK,1975.3,1975,3,569.182,904,5790,524
AK,1975.4,1975,4,669.871,967,6841,597
AK,1976.1,1976,1,891.414,1257,9525,603
AK,1976.2,1976,2,980.022,1528,9884,630
AK,1976.3,1976,3,1241.672,1756,10558,788
AK,1976.4,1976,4,1239.773,1708,12705,912
AK,1977.1,1977,1,1737.746,2628,14732,1107
AK,1977.2,1977,2,1976.735,3214,22885,1243
AK,1977.3,1977,3,2583.412,3770,26059,1581
AK,1977.4,1977,4,2724.655,3307,37387,1883
AK,1978.1,1978,1,3094.337,3959,34192,1821
AK,1978.2,1978,2,2637.18,3714,31192,1615
AK,1978.3,1978,3,2433.899,3180,28978,1629
AK,1978.4,1978,4,2438.659,2980,28006,1912
AK,1979.1,1979,1,2187.55,2673,26271,1493
AK,1979.2,1979,2,2025.004,2911,24304,1315
AK,1979.3,1979,3,1694.779,2224,20980,1271
AK,1979.4,1979,4,1628.154,2138,20372,1237
AK,1980.1,1980,1,1636.415,2146,20681,1038
AK,1980.2,1980,2,1129.46,1578,14486,660
AK,1980.3,1980,3,1398.251,1863,17016,936
AK,1980.4,1980,4,1377.786,748,18946,1213
AK,1981.1,1981,1,1906.087,2977,23125,1270
AK,1981.2,1981,2,3705.361,3567,34161,2055
AK,1981.3,1981,3,2846.069,1957,24297,1809
AK,1981.4,1981,4,2421.682,2159,22658,1310
AK,1982.1,1982,1,2553.527,2607,24082,1109
AK,1982.2,1982,2,2760.896,2577,24915,1390
AK,1982.3,1982,3,2031.773,1651,18108,1108
AK,1982.4,1982,4,809.997,670,8487,469
AK,1983.1,1983,1,3111.598,4600,27388,849
AK,1983.2,1983,2,3698.747,3845,33510,2418
AK,1983.3,1983,3,980.219,1041,9127,584
AK,1983.4,1983,4,7.275,9,514,4
AK,1984.1,1984,1,2909.998,5124,21067,503
AK,1984.2,1984,2,3229.248,3716,25599,1767
AK,1984.3,1984,3,827.887,882,7080,437
AK,1984.4,1984,4,6.412,14,264,5
AK,1985.1,1985,1,2858.745,5023,21673,327
AK,1985.2,1985,2,4154.901,4299,31965,2011
AK,1985.3,1985,3,3047.525,2744,23449,1365
AK,1985.4,1985,4,101.801,92,4231,46
AK,1986.1,1986,1,5034.684,6373,38151,1366
AK,1986.2,1986,2,5961.07,5714,44140,2495
AK,1986.3,1986,3,4649.775,3942,33787,2150
AK,1986.4,1986,4,5399.215,4649,39531,2475
AK,1987.1,1987,1,5827.527,5653,42585,2301
AK,1987.2,1987,2,5984.997,5175,43314,2526
AK,1987.3,1987,3,2861.354,2303,23494,1417
AK,1987.4,1987,4,9.62,11,1101,2
AK,1988.1,1988,1,3276.548,4488,25067,507
AK,1988.2,1988,2,3867.36,3351,29401,2015
AK,1988.3,1988,3,564.44,433,5749,276
AK,1988.4,1988,4,6.367,9,176,8
AK,1989.1,1989,1,1024.434,2408,7949,3
AK,1989.2,1989,2,2507.595,2140,20638,949
AK,1989.3,1989,3,9.928,26,496,6
AK,1989.4,1989,4,0.485,1,192,0
AK,1990.1,1990,1,925.997,3921,7098,0
AK,1990.2,1990,2,3676.929,5497,25998,377
AK,1990.3,1990,3,413.84,422,4382,2
AK,1990.4,1990,4,0.42,3,282,0
AK,1991.1,1991,1,2070.733,3484,15368,11
AK,1991.2,1991,2,4366.258,3505,30582,2071
AK,1991.3,1991,3,2076.715,1546,14198,999
AK,1991.4,1991,4,20.173,20,1267,17
AK,1992.1,1992,1,1.922,6,1,2
AK,1992.2,1992,2,0.468,0,13,2
AK,1992.3,1992,3,0.183,0,0,1
AK,1992.4,1992,4,10.243,0,0,2
AK,1993.1,1993,1,0.6,2,0,1
AK,1993.2,1993,2,0.619,0,0,1
AK,1993.3,1993,3,0.078,0,0,1
AK,1993.4,1993,4,0,0,0,0
AK,1994.1,1994,1,5591.455,7044,38378,438
AK,1994.2,1994,2,6486.453,4936,45200,3350
AK,1994.3,1994,3,2217.267,1604,19879,1046
AK,1994.4,1994,4,10.266,51,2184,22
AK,1995.1,1995,1,2884.896,3986,20718,161
AK,1995.2,1995,2,3872.393,3095,28420,1663
AK,1995.3,1995,3,512.546,421,5955,202
AK,1995.4,1995,4,4.48,3,770,2
AK,1996.1,1996,1,2178.775,3534,16575,8
AK,1996.2,1996,2,4198.602,3117,30440,1691
AK,1996.3,1996,3,527.22,382,6386,197
AK,1996.4,1996,4,2.88,4,906,1
AK,1997.1,1997,1,1788.952,2990,13369,5
AK,1997.2,1997,2,3625.123,2671,26322,1419
AK,1997.3,1997,3,25.453,38,2000,1
AK,1997.4,1997,4,2.074,3,577,2
AK,1998.1,1998,1,1583.646,3164,11158,1
AK,1998.2,1998,2,3819.829,2788,24430,1292
AK,1998.3,1998,3,10.613,17,18,0
AK,1998.4,1998,4,0.889,4,0,0
AK,1999.1,1999,1,1730.778,3497,11703,0
AK,1999.2,1999,2,4784.176,3415,29925,1800
AK,1999.3,1999,3,335.359,244,2107,167
AK,1999.4,1999,4,2.792,4,0,3
AK,2000.1,2000,1,1470.568,2971,9162,1
AK,2000.2,2000,2,3613.988,2381,21376,1078
AK,2000.3,2000,3,2.826,10,0,2
AK,2000.4,2000,4,2.894,6,2,3
AK,2001.1,2001,1,860.217,2577,5340,0
AK,2001.2,2001,2,3994.394,2547,23793,1057
AK,2001.3,2001,3,6.593,9,2,6
AK,2001.4,2001,4,2.48,4,0,3
AK,2002.1,2002,1,1612.296,3152,11112,1
AK,2002.2,2002,2,5861.823,3659,32844,1771
AK,2002.3,2002,3,7.275,12,1,4
AK,2002.4,2002,4,3835.24,4466,21445,152
AK,2003.1,2003,1,5869.491,3940,34001,2722
AK,2003.2,2003,2,5663.674,4164,28824,2002
AK,2003.3,2003,3,3845.315,2580,21167,1623
AK,2003.4,2003,4,5205.016,3843,28321,1915
AK,2004.1,2004,1,4873.663,3848,28014,1812
AK,2004.2,2004,2,4028.241,3309,27016,1319
AK,2004.3,2004,3,2.503,5,1,0
AK,2004.4,2004,4,0.47,0,0,0
AK,2005.1,2005,1,934.697,2759,5683,0
AK,2005.2,2005,2,4559.933,3066,27315,1198
AK,2005.3,2005,3,1.748,4,4,1
AK,2005.4,2005,4,0,0,0,0
AK,2006.1,2006,1,0.594,1,0,0
AK,2006.2,2006,2,0.848,0,0,0
AK,2006.3,2006,3,0,0,0,0
AK,2006.4,2006,4,0,0,0,0
AK,2007.1,2007,1,0,0,0,0
AK,2007.2,2007,2,0,0,0,0
AK,2007.3,2007,3,0,0,0,0
AK,2007.4,2007,4,0,0,0,0
AK,2008.1,2008,1,0,0,0,0
AK,2008.2,2008,2,703.933,1480,6157,0
AK,2008.3,2008,3,3108.523,1895,17412,999
AK,2008.4,2008,4,510.551,457,2847,172
AK,2009.1,2009,1,3236.182,3133,20474,272
AK,2009.2,2009,2,5901.426,1749,29913,1085
AK,2009.3,2009,3,5791.54,1811,35459,1133
AK,2009.4,2009,4,8678.659,3044,52819,1777
AK,2010.1,2010,1,11777.32,3664,48665,1856
AK,2010.2,2010,2,11904.48,3731,49963,1903
AK,2010.3,2010,3,10019.017,2823,43476,1817
AK,2010.4,2010,4,8884.425,3201,36699,2661
AK,2011.1,2011,1,10629.408,1076,45618,1708
AK,2011.2,2011,2,9213.433,0,38521,2221
AK,2011.3,2011,3,51.922,4,6,1
AK,2011.4,2011,4,9.936,0,0,0
AK,2012.1,2012,1,5835.802,459,27409,473
AK,2012.2,2012,2,26.552,0,90,2
AK,2012.3,2012,3,4.122,0,0,0
AK,2012.4,2012,4,5.011,0,0,0
AK,2013.1,2013,1,3.884,0,0,0
AK,2013.2,2013,2,5.694,0,11,0
AK,2013.3,2013,3,1.004,0,0,0
AK,2013.4,2013,4,4.522,0,0,1
AK,2014.1,2014,1,0.024,0,0,0
AK,2014.2,2014,2,0.003,0,0,0
AK,2014.3,2014,3,1.863,0,0,0
AK,2014.4,2014,4,0.175,0,0,0
AK,2015.1,2015,1,0.529,0,0,0
AK,2015.2,2015,2,0.523,0,0,0
AK,2015.3,2015,3,0.126,0,0,0
AK,2015.4,2015,4,0.004,0,0,0
AK,2016.1,2016,1,0,0,0,0
AK,2016.2,2016,2,0,0,0,0
AK,2016.3,2016,3,0.064,0,0,0
AK,2016.4,2016,4,0,0,0,0
AK,2017.1,2017,1,0.264,0,0,0
AK,2017.2,2017,2,0,0,0,0
AK,2017.3,2017,3,0,0,0,0
AK,2017.4,2017,4,1607.25,0,7282,1
AK,2018.1,2018,1,3125.618,0,13422,830
AL,1971.1,1971,1,0,0,0,0
AL,1971.2,1971,2,0,0,0,0
AL,1971.3,1971,3,0,0,0,0
AL,1971.4,1971,4,0,0,0,0
AL,1972.1,1972,1,0,0,0,0
AL,1972.2,1972,2,0,0,0,0
AL,1972.3,1972,3,0,0,0,0
AL,1972.4,1972,4,0,0,0,0
AL,1973.1,1973,1,0,0,0,0
AL,1973.2,1973,2,0,0,0,0
AL,1973.3,1973,3,0,0,0,0
AL,1973.4,1973,4,0,0,0,0
AL,1974.1,1974,1,0,0,0,0
AL,1974.2,1974,2,0,0,0,0
AL,1974.3,1974,3,0,0,0,0
AL,1974.4,1974,4,0,0,0,0
AL,1975.1,1975,1,2496.669,8369,50087,742
AL,1975.2,1975,2,6134.932,12310,119548,7748
AL,1975.3,1975,3,10072.66,18387,170276,11869
AL,1975.4,1975,4,8152.205,11607,137042,11641
AL,1976.1,1976,1,6865.64,11351,118533,8780
AL,1976.2,1976,2,5645.164,9158,96907,7166
AL,1976.3,1976,3,5902.556,9447,99149,7083
AL,1976.4,1976,4,5582.867,8616,89037,6745
AL,1977.1,1977,1,5999.388,10790,95021,6989
AL,1977.2,1977,2,5423.821,8860,91338,6693
AL,1977.3,1977,3,2777.615,5488,44759,2942
AL,1977.4,1977,4,4353.646,6726,69537,4617
AL,1978.1,1978,1,1953.82,3782,28696,2229
AL,1978.2,1978,2,5.106,16,47,6
AL,1978.3,1978,3,3.472,7,12,3
AL,1978.4,1978,4,0.856,2,3,2
AL,1979.1,1979,1,0.67,1,0,1
