st,CYQ,year,quarter,Civlian_Labor_Force,Covered_Employment,Sub_Employer,TUR,TUR_Rank,Total_Unemployment
AK,1971.1,1971,1,NA,NA,NA,NA,NA,NA
AK,1971.2,1971,2,NA,NA,NA,NA,NA,NA
AK,1971.3,1971,3,NA,NA,NA,NA,NA,NA
AK,1971.4,1971,4,NA,NA,NA,NA,NA,NA
AK,1972.1,1972,1,NA,NA,NA,NA,NA,NA
AK,1972.2,1972,2,NA,NA,NA,NA,NA,NA
AK,1972.3,1972,3,NA,NA,NA,NA,NA,NA
AK,1972.4,1972,4,NA,NA,NA,NA,NA,NA
AK,1973.1,1973,1,NA,NA,NA,NA,NA,NA
AK,1973.2,1973,2,NA,NA,NA,NA,NA,NA
AK,1973.3,1973,3,NA,NA,NA,NA,NA,NA
AK,1973.4,1973,4,NA,NA,NA,NA,NA,NA
AK,1974.1,1974,1,NA,NA,NA,NA,NA,NA
AK,1974.2,1974,2,NA,NA,NA,NA,NA,NA
AK,1974.3,1974,3,NA,67.398,NA,NA,NA,NA
AK,1974.4,1974,4,NA,85.516,NA,NA,NA,NA
AK,1975.1,1975,1,NA,101.157,NA,NA,NA,NA
AK,1975.2,1975,2,NA,97.124,NA,NA,NA,NA
AK,1975.3,1975,3,NA,95.394,NA,NA,NA,NA
AK,1975.4,1975,4,NA,118.405,NA,NA,NA,NA
AK,1976.1,1976,1,155.666,135.711,NA,9.019096442,953,14.03966667
AK,1976.2,1976,2,162.5976667,124.771,NA,7.166154496,2365,11.652
AK,1976.3,1976,3,170.745,114.061,NA,5.937313928,3986,10.13766667
AK,1976.4,1976,4,166.0233333,132.954,NA,8.327745096,1350,13.826
AK,1977.1,1977,1,165.8056667,146.145,NA,10.88020715,383,18.04
AK,1977.2,1977,2,173.3316667,121.485,NA,9.841056164,658,17.05766667
AK,1977.3,1977,3,179.6583333,112.781,NA,8.103715386,1510,14.559
AK,1977.4,1977,4,174.4916667,125.172,NA,9.763216964,682,17.036
AK,1978.1,1978,1,174.8013333,127.271,NA,12.56493085,184,21.96366667
AK,1978.2,1978,2,181.1676667,117.304,NA,11.11530203,346,20.13733333
AK,1978.3,1978,3,187.0263333,131.274,NA,8.992851274,970,16.819
AK,1978.4,1978,4,180.1736667,144.66,NA,9.94854964,633,17.92466667
AK,1979.1,1979,1,177.4326667,151.855,NA,10.96115334,364,19.44866667
AK,1979.2,1979,2,181.831,141.888,NA,9.17866957,880,16.68966667
AK,1979.3,1979,3,188.001,136.175,NA,7.320351133,2185,13.76233333
AK,1979.4,1979,4,181.971,149,NA,8.73490831,1110,15.895
AK,1980.1,1980,1,180.49,155.103,NA,10.25652391,547,18.512
AK,1980.2,1980,2,188.6153333,146.145,NA,10.13420613,579,19.11466667
AK,1980.3,1980,3,195.4253333,136.758,NA,8.175500959,1456,15.977
AK,1980.4,1980,4,189.1853333,150.95,NA,8.943434657,1000,16.91966667
AK,1981.1,1981,1,189.6293333,161.199,NA,10.32347316,516,19.57633333
AK,1981.2,1981,2,197.273,154.082,NA,8.930771063,1009,17.618
AK,1981.3,1981,3,206.8746667,145.527,11.604,7.831633968,1705,16.20166667
AK,1981.4,1981,4,202.966,166.251,11.711,9.300244047,822,18.87633333
AK,1982.1,1982,1,204.5083333,178.508,11.457,11.16189234,335,22.827
AK,1982.2,1982,2,213.6613333,170.192,12.468,9.967487488,624,21.29666667
AK,1982.3,1982,3,223.153,161.591,12.96,8.313130453,1363,18.551
AK,1982.4,1982,4,219.3523333,178.567,13.227,9.771493959,677,21.434
AK,1983.1,1983,1,221.952,196.17,13.496,11.82042364,249,26.23566667
AK,1983.2,1983,2,229.715,181.138,13.521,10.16578514,569,23.35233333
AK,1983.3,1983,3,240.0193333,174.599,13.648,8.562782443,1216,20.55233333
AK,1983.4,1983,4,235.0183333,193.884,13.868,9.69626483,698,22.788
AK,1984.1,1984,1,237.3936667,207.61,14.024,11.66318675,270,27.68766667
AK,1984.2,1984,2,245.8496667,195.836,14.596,10.33680474,509,25.413
AK,1984.3,1984,3,251.817,187.063,15.073,8.517163919,1235,21.44766667
AK,1984.4,1984,4,244.336,202.768,15.163,9.009042193,962,22.01233333
AK,1985.1,1985,1,244.6116667,214.948,15.299,10.79656871,403,26.40966667
AK,1985.2,1985,2,251.5343333,203.21,15.538,10.00314072,610,25.16133333
AK,1985.3,1985,3,256.5676667,194.174,15.602,8.359198288,1332,21.447
AK,1985.4,1985,4,249.5236667,209.783,15.561,9.412066457,775,23.48533333
AK,1986.1,1986,1,249.7103333,221.471,16.063,11.77604451,255,29.406
AK,1986.2,1986,2,256.7523333,205.43,15.349,11.6896049,266,30.01333333
AK,1986.3,1986,3,260.627,193.138,14.653,9.978628461,619,26.007
AK,1986.4,1986,4,250.6253333,200.998,14.576,10.62223026,435,26.622
AK,1987.1,1987,1,247.9833333,206.911,15.695,12.12460515,220,30.067
AK,1987.2,1987,2,252.1176667,190.349,14.513,10.74260299,409,27.084
AK,1987.3,1987,3,255.5016667,178.057,13.844,8.569807111,1212,21.896
AK,1987.4,1987,4,247.49,190.22,13.729,9.275122227,832,22.955
AK,1988.1,1988,1,245.441,194.92,15.699,10.40032703,491,25.52666667
AK,1988.2,1988,2,251.8483333,184.774,13.728,9.221422946,857,23.224
AK,1988.3,1988,3,257.8556667,177.519,13.385,7.409959318,2082,19.107
AK,1988.4,1988,4,250.9366667,191.458,13.199,7.938125158,1628,19.91966667
AK,1989.1,1989,1,249.767,203.224,13.387,8.394490332,1314,20.96666667
AK,1989.2,1989,2,255.996,192.165,13.408,6.886956567,2681,17.63033333
AK,1989.3,1989,3,263.3143333,186.083,13.553,5.65686385,4447,14.89533333
AK,1989.4,1989,4,256.933,207.25,13.552,6.778161362,2820,17.41533333
AK,1990.1,1990,1,264.6376667,219.651,13.49,8.233773726,1419,21.78966667
AK,1990.2,1990,2,271.167,202.53,13.138,7.228878637,2291,19.60233333
AK,1990.3,1990,3,276.4453333,198.011,13.232,5.942344237,3970,16.42733333
AK,1990.4,1990,4,267.9086667,218.725,13.176,6.806299659,2792,18.23466667
AK,1991.1,1991,1,269.497,227.607,13.207,8.652415426,1159,23.318
AK,1991.2,1991,2,278.6646667,213.328,13.278,8.178288361,1455,22.79
AK,1991.3,1991,3,285.9753333,205.565,13.363,7.39154659,2110,21.138
AK,1991.4,1991,4,281.06,221.02,13.254,8.807609289,1061,24.75466667
AK,1992.1,1992,1,282.861,231.444,13.338,10.59813831,441,29.978
AK,1992.2,1992,2,289.239,214.203,13.51,9.314327137,811,26.94066667
AK,1992.3,1992,3,295.1473333,209.888,13.681,7.719873238,1811,22.785
AK,1992.4,1992,4,287.86,225.606,13.852,8.157900831,1473,23.48333333
AK,1993.1,1993,1,287.136,235.05,13.813,9.10126212,908,26.133
AK,1993.2,1993,2,293.7953333,216.696,14.003,7.979023946,1592,23.442
AK,1993.3,1993,3,299.8136667,212.57,14.315,6.435330389,3253,19.294
AK,1993.4,1993,4,294.2863333,228.845,14.467,7.180081984,2353,21.13
AK,1994.1,1994,1,295.6053333,238.341,14.455,8.95033468,994,26.45766667
AK,1994.2,1994,2,301.1433333,226.132,14.546,7.781344432,1753,23.433
AK,1994.3,1994,3,306.3393333,220.78,14.823,6.434585612,3254,19.71166667
AK,1994.4,1994,4,299.8806667,235.043,14.895,6.861062512,2716,20.575
AK,1995.1,1995,1,299.0336667,247.256,14.923,8.092622793,1519,24.19966667
AK,1995.2,1995,2,303.125,231.015,15.047,7.077168385,2468,21.45266667
AK,1995.3,1995,3,309.1363333,224.288,15.189,6.143028588,3684,18.99033333
AK,1995.4,1995,4,303.3676667,241.407,15.214,7.12963258,2404,21.629
AK,1996.1,1996,1,303.5463333,252.329,15.252,8.84488804,1040,26.84833333
AK,1996.2,1996,2,308.5563333,233.46,15.508,7.534226597,1979,23.24733333
AK,1996.3,1996,3,313.9653333,225.94,15.699,6.318107307,3430,19.83666667
AK,1996.4,1996,4,308.2246667,243.312,15.631,7.187289791,2347,22.153
AK,1997.1,1997,1,308.4453333,253.046,15.777,8.745471915,1099,26.975
AK,1997.2,1997,2,312.0783333,236.516,15.579,7.259181723,2254,22.65433333
AK,1997.3,1997,3,317.3653333,229.538,15.682,6.044033375,3810,19.18166667
AK,1997.4,1997,4,309.9546667,248.175,15.788,6.187786601,3611,19.17933333
AK,1998.1,1998,1,308.501,257.173,15.934,7.200949106,2333,22.215
AK,1998.2,1998,2,313.004,242.138,15.95,6.081178941,3757,19.03433333
AK,1998.3,1998,3,318.1216667,237.819,16.059,5.266433702,5152,16.75366667
AK,1998.4,1998,4,312.6883333,253.508,16.038,5.934876581,3991,18.55766667
AK,1999.1,1999,1,313.6463333,261.21,15.976,7.375185852,2130,23.132
AK,1999.2,1999,2,316.933,247.337,16.004,6.261260266,3492,19.844
AK,1999.3,1999,3,320.722,239.316,16.065,5.241195386,5208,16.80966667
AK,1999.4,1999,4,314.725,255.478,16.136,5.771705457,4260,18.165
AK,2000.1,2000,1,316.427,263.969,16.087,7.183963442,2349,22.732
AK,2000.2,2000,2,320.2076667,249.175,16.041,6.33380629,3406,20.28133333
AK,2000.3,2000,3,323.033,244.418,16.186,5.344861567,4994,17.26566667
AK,2000.4,2000,4,316.342,261.921,16.19,5.827448352,4151,18.43466667
AK,2001.1,2001,1,317.6066667,271.992,16.262,7.162737978,2368,22.74933333
AK,2001.2,2001,2,321.6633333,255.672,16.298,6.150840941,3669,19.785
AK,2001.3,2001,3,326.5376667,251.588,16.387,5.300052163,5084,17.30666667
AK,2001.4,2001,4,320.1286667,271.409,16.398,6.034865148,3830,19.31933333
AK,2002.1,2002,1,322.7996667,280.02,16.48,7.718306194,1815,24.91466667
AK,2002.2,2002,2,328.3756667,261.97,16.343,7.112585484,2423,23.356
AK,2002.3,2002,3,334.5726667,256.568,16.492,6.417340329,3284,21.47066667
AK,2002.4,2002,4,327.7916667,274.093,16.511,7.124138808,2407,23.35233333
AK,2003.1,2003,1,331.8886667,286.733,16.549,8.621465431,1173,28.61366667
AK,2003.2,2003,2,337.274,267.114,16.592,7.875792382,1677,26.563
AK,2003.3,2003,3,341.3153333,261.615,16.76,6.863252554,2710,23.42533333
AK,2003.4,2003,4,335.717,278.769,16.825,7.311515354,2197,24.546
