st,CYQ,year,quarter,Loans,LPCE,LPCTW,Bond_Amount,Bond_Date
AK,1971.1,1971,1,NA,NA,NA,NA,NA
AK,1971.2,1971,2,NA,NA,NA,NA,NA
AK,1971.3,1971,3,NA,NA,NA,NA,NA
AK,1971.4,1971,4,NA,NA,NA,NA,NA
AK,1972.1,1972,1,NA,NA,NA,NA,NA
AK,1972.2,1972,2,NA,NA,NA,NA,NA
AK,1972.3,1972,3,NA,NA,NA,NA,NA
AK,1972.4,1972,4,NA,NA,NA,NA,NA
AK,1973.1,1973,1,NA,NA,NA,NA,NA
AK,1973.2,1973,2,NA,NA,NA,NA,NA
AK,1973.3,1973,3,NA,NA,NA,NA,NA
AK,1973.4,1973,4,NA,NA,NA,NA,NA
AK,1974.1,1974,1,NA,NA,NA,NA,NA
AK,1974.2,1974,2,NA,NA,NA,NA,NA
AK,1974.3,1974,3,NA,NA,NA,NA,NA
AK,1974.4,1974,4,NA,NA,NA,NA,NA
AK,1975.1,1975,1,NA,NA,NA,NA,NA
AK,1975.2,1975,2,NA,NA,NA,NA,NA
AK,1975.3,1975,3,NA,NA,NA,NA,NA
AK,1975.4,1975,4,NA,NA,NA,NA,NA
AK,1976.1,1976,1,NA,NA,NA,NA,NA
AK,1976.2,1976,2,NA,NA,NA,NA,NA
AK,1976.3,1976,3,NA,NA,NA,NA,NA
AK,1976.4,1976,4,NA,NA,NA,NA,NA
AK,1977.1,1977,1,NA,NA,NA,NA,NA
AK,1977.2,1977,2,NA,NA,NA,NA,NA
AK,1977.3,1977,3,NA,NA,NA,NA,NA
AK,1977.4,1977,4,NA,NA,NA,NA,NA
AK,1978.1,1978,1,NA,NA,NA,NA,NA
AK,1978.2,1978,2,NA,NA,NA,NA,NA
AK,1978.3,1978,3,NA,NA,NA,NA,NA
AK,1978.4,1978,4,NA,NA,NA,NA,NA
AK,1979.1,1979,1,NA,NA,NA,NA,NA
AK,1979.2,1979,2,NA,NA,NA,NA,NA
AK,1979.3,1979,3,NA,NA,NA,NA,NA
AK,1979.4,1979,4,NA,NA,NA,NA,NA
AK,1980.1,1980,1,NA,NA,NA,NA,NA
AK,1980.2,1980,2,NA,NA,NA,NA,NA
AK,1980.3,1980,3,NA,NA,NA,NA,NA
AK,1980.4,1980,4,NA,NA,NA,NA,NA
AK,1981.1,1981,1,NA,NA,NA,NA,NA
AK,1981.2,1981,2,NA,NA,NA,NA,NA
AK,1981.3,1981,3,NA,NA,NA,NA,NA
AK,1981.4,1981,4,NA,NA,NA,NA,NA
AK,1982.1,1982,1,NA,NA,NA,NA,NA
AK,1982.2,1982,2,NA,NA,NA,NA,NA
AK,1982.3,1982,3,NA,NA,NA,NA,NA
AK,1982.4,1982,4,NA,NA,NA,NA,NA
AK,1983.1,1983,1,NA,NA,NA,NA,NA
AK,1983.2,1983,2,NA,NA,NA,NA,NA
AK,1983.3,1983,3,NA,NA,NA,NA,NA
AK,1983.4,1983,4,NA,NA,NA,NA,NA
AK,1984.1,1984,1,NA,NA,NA,NA,NA
AK,1984.2,1984,2,NA,NA,NA,NA,NA
AK,1984.3,1984,3,NA,NA,NA,NA,NA
AK,1984.4,1984,4,NA,NA,NA,NA,NA
AK,1985.1,1985,1,NA,NA,NA,NA,NA
AK,1985.2,1985,2,NA,NA,NA,NA,NA
AK,1985.3,1985,3,NA,NA,NA,NA,NA
AK,1985.4,1985,4,NA,NA,NA,NA,NA
AK,1986.1,1986,1,NA,NA,NA,NA,NA
AK,1986.2,1986,2,NA,NA,NA,NA,NA
AK,1986.3,1986,3,NA,NA,NA,NA,NA
AK,1986.4,1986,4,NA,NA,NA,NA,NA
AK,1987.1,1987,1,NA,NA,NA,NA,NA
AK,1987.2,1987,2,NA,NA,NA,NA,NA
AK,1987.3,1987,3,NA,NA,NA,NA,NA
AK,1987.4,1987,4,NA,NA,NA,NA,NA
AK,1988.1,1988,1,NA,NA,NA,NA,NA
AK,1988.2,1988,2,NA,NA,NA,NA,NA
AK,1988.3,1988,3,NA,NA,NA,NA,NA
AK,1988.4,1988,4,NA,NA,NA,NA,NA
AK,1989.1,1989,1,NA,NA,NA,NA,NA
AK,1989.2,1989,2,NA,NA,NA,NA,NA
AK,1989.3,1989,3,NA,NA,NA,NA,NA
AK,1989.4,1989,4,NA,NA,NA,NA,NA
AK,1990.1,1990,1,NA,NA,NA,NA,NA
AK,1990.2,1990,2,NA,NA,NA,NA,NA
AK,1990.3,1990,3,NA,NA,NA,NA,NA
AK,1990.4,1990,4,NA,NA,NA,NA,NA
AK,1991.1,1991,1,NA,NA,NA,NA,NA
AK,1991.2,1991,2,NA,NA,NA,NA,NA
