"st","CYQ","year","quarter","Benefit","Benefit_12_Month","High_Benefit","Low_Benefit","Benefit_rank","High_Benefit_Date","Low_Benefit_Date","Initial_Claim","Initial_Claim_12_Month","High_Initial_Claim","Low_Initial_Claim","Initial_Claim_rank","High_Initial_Claim_Date","Low_Initial_Claim_Date","First_Payment","First_Payment_12_Month","High_First_Payment","Low_First_Payment","First_Payment_rank","High_First_Payment_Date","Low_First_Payment_Date","Weeks_Claimed","Weeks_Claimed_12_Month","High_Weeks_Claimed","Low_Weeks_Claimed","Weeks_Claimed_rank","High_Weeks_Claimed_Date","Low_Weeks_Claimed_Date","Weeks_Compensated","Weeks_Compensated_12_Month","High_Weeks_Compensated","Low_Weeks_Compensated","Weeks_Compensated_rank","High_Weeks_Compensated_Date","Low_Weeks_Compensated_Date","Exhaustions","Exhaustions_12_Month","High_Exhaustions","Low_Exhaustions","Exhaustions_rank","High_Exhaustions_Date","Low_Exhaustions_Date","Exhaustion_Rate","High_Exhaustion_Rate","Low_Exhaustion_Rate","Exhaustion_Rate_rank","High_Exhaustion_Rate_Date","Low_Exhaustion_Rate_Date","Average_Duration","High_Average_Duration","Low_Average_Duration","Average_Duration_rank","High_Average_Duration_Date","Low_Average_Duration_Date","AWBA","AWBA_12_Month","High_AWBA","Low_AWBA","AWBA_rank","High_AWBA_Date","Low_AWBA_Date","Replacement_Rate","Extended_Benefit","Extended_Benefit_12Mon","Hi_Extended_Benefit","Extended_Benefit_Rank","Hi_EB_Date","EB_First_Payment","EB_First_Payment_12Mon","Hi_EB_First_Payment","EB_First_Payment_Rank","Hi_EB_First_date","EB_Weeks_Claimed","EB_Weeks_Claimed_12Mon","Hi_EB_Weeks_Claimed","EB_Weeks_Claimed_Rank","Hi_EB_Weeks_Claimed_Date","EB_Exh","EB_Exh_12Mon","Hi_EB_Exh","EB_Exh_Rank","Hi_EB_Exh_Date","Avg_Ben_Fir_Pay_12Month","Avg_Ben_Fir_Pay_12Month_rank","Replacement_Rate_Rank","State_Revenue","State_Revenue_Rank","State_Benefit","State_Benefit_Rank","Total_Wages","Total_Wages_Rank","Taxable_Wages","Taxable_Wages_Rank","AWW","AWW_Rank","Rate_On_Taxable_Wages","Rate_On_Taxable_Wages_Rank","Rate_On_Total_Wages","Rate_On_Total_Wages_Rank","TWB","TWB_Rank","TFBalance","TFBalance_Rank","TFPCTW","TFPCTW_Rank","HCM","HCM_Rank","Month_Benefit","Month_Benefit_Rank","Loans","Loans_Rank","Non_interest_Loans","nilork","interest_Loans","intlor","LPCE","LPCE_Rank","CYQ_Taxable_Wages","CYQ_Total_Wages","IUR","IUR_Rank","TUR","TUR_Rank","Total_Unemployment","Total_Unemployment_Rank","Regular_Program","Regular_Program_Rank","Rec_Rate_Regular","Rec_Rate_Regular_Rank","All_Program","All_Program_Rank","Rec_Rate_All","Rec_Rate_All_Rank","Covered_Employment","Covered_Employment_Rank","Civlian_Labor_Force","Civlian_Labor_Force_Rank","st_name","lag2first_payment","staxemp2","AHCM","AHCM_Rank","staxemp","staxemp_Rank","Est_Total_Wage","IUR_12Mon","TUR_12Mon","All_Program_12Mon","Regular_Program_12Mon","Total_Unemployment_12Mon","Covered_Employment_12Mon","Civlian_Labor_Force_12Mon","Rec_Rate_All_12Mon","Rec_Rate_Regular_12Mon","Sub_Employer","Sub_Employer_12Mon","Sub_Employer_Rank","Interest","LPCTW","LPCTW_Rank","Interest_Rank","Bond_Amount","Bond_Date"
"AK","2018.1",2018,1,34084.956,106970.834,60313.325,1662.845,42,2010.1,1971.3,16145,67212,37039,6630,38,1976.4,1971.3,6728,22737,19617,2132,43,1977.1,1971.3,147510,489085,337750,33114,37,1978.1,1971.3,130686,407730,321508,36386,37,1977.1,1971.3,3278,11029,9445,937,35,1986.2,1971.3,0.448807682916904,0.764756737419509,0.201999629698204,6,2010.4,1976.3,17.932444913577,23.98,14.12,6,2010.2,2002.2,267.540301938471,270.275340162055,283.6,46.1,43,2016.3,1971.3,26.8990034007272,3125.618,4732.868,11904.48,1,2010.2,0,0,7044,28,1994.1,13422,20704,52819,1,2009.4,830,831,3350,1,1994.2,4704.70308308044,28,44,122939.46862,44,106971.881692308,42,16079584.163,50,7733958.576,42,1004.77826682139,17,1.76353049553753,27,1.12191728342596,7,39800,3,436230.707,35,3.64555701557612,3,"0.86","10",48.9364090028502,21,0,27.5,0,1,1,1,0,27.5,1840430.729,4186340.115,3.84498088066249,2,8.0698389652634,2,28.9766666666667,41,11.5675384615385,38,39.9201833482289,15,12.6152307692308,35,43.5358245803431,13,322.452,50,359.073666666667,50,"Alaska",3494,12156931.711,"1.65","9",3312644.072,49,11966092.0165601,3.06420886120475,7.22955444117208,9.96184615384615,9.55825,26.2121666666667,307.75225,362.800416666667,38.0046650875082,36.4649367660056,18.145,18.1525,50,2491.3271,0,27.5,35,0,"N.A."
"AL","2018.1",2018,1,40268.51,158774.191,179607.386,7539.731,38,2009.2,1973.3,36921,145865,195707,25601,25,1982.1,1973.2,14714,53659,87774,11594,29,1982.1,1973.2,230711,916300,972316,184055,28,2009.2,1973.4,182932,723316,873723,163877,29,2009.2,1973.4,4493,17521,26956,3671,27,2009.3,1973.4,0.317432422639322,0.453687804080298,0.173514888900086,31,2010.2,1990.3,13.4798635829963,17.87,9.18,35,2010.1,1995.4,221.943894520564,221.217238583392,222,40.8,50,2017.4,1971.2,25.7667127066336,0,0,28145.869,31,2010.3,0,0,25175,28,1980.3,0,0,254053,30,1983.1,0,0,18667,29.5,1983.1,2958.9480049945,48,46,219240.656,33,158774.191,33,83801513.397,27,14872809.837,33,858.538848560375,38,1.47835998314862,34,0.320988512276282,46,8000,47,550660.5492,31,0.79697069255839,36,"0.37","35",41.6183924401164,24,0,27.5,0,1,1,1,0,27.5,1630302.27,20523162.069,0.952859060402685,38,4.07212343899237,31,88.055,29,17.8915384615385,28,20.3185945846783,39,17.8915384615385,28,20.3185945846783,39,1882.284,24,2162.38533333333,24,"Alabama",14497,68498921.485,"0.87","30",16738151.036,27,69094203.1296409,0.94348474947588,4.01946035633603,17.7855576923077,17.7855576923077,87.04075,1877.105,2165.1965,20.4335988514663,20.4335988514663,89.214,88.68075,29,3109.99551,0,27.5,31,0,"N.A."
"AR","2018.1",2018,1,33198.985,128986.796,169355.036,3532.154,43,2009.2,1972.3,23421,98437,102719,18210,33,1981.4,1972.2,10931,41478,52817,7104,34,1975.1,1973.2,170740,671519,782772,96412,34,2009.2,1973.3,128290,495082,635735,82739,38,2009.2,1973.3,3210,12904,19034,1808,36,2009.3,1973.4,0.302392613596419,0.489023047839137,0.215968038821954,34,2010.1,1986.2,11.9360142726265,18.08,9.57,46,2010.2,1972.2,269.453871608206,269.91022960783,309.6,39.5,41,2015.2,1971.1,33.2089735869061,0,0,11185.223,31,2009.3,0,0,10855,28,1975.2,0,0,90405,30,1975.3,0,0,6478,29.5,1975.3,3109.76411591687,46,31,224370.08184,32,128986.796,39,49767439.992,34,12709045.648,38,812.762938612027,45,1.7789754184696,26,0.563818694823788,29,12000,33,638205.6612,27,1.57601898814142,20,"0.57","23",59.3740458085338,14,0,27.5,0,1,1,1,0,27.5,1580186.171,11823484.551,1.12152528489724,34,4.15896269464844,29,55.7016666666667,34,13.3179230769231,34,23.909379869405,35,13.3179230769231,34,23.909379869405,35,1166.609,34,1339.31633333333,34,"Arkansas",8935,40099911.563,"1.04","22",9576500.291,34,40494795.1770954,1.10039239792461,3.72795222102367,13.05325,13.05325,50.4830833333333,1177.5465,1354.54091666667,25.8566813635591,25.8566813635591,70.388,69.944,33,3577.64384,0,27.5,27,0,"N.A."
"AZ","2018.1",2018,1,48788.076,239661.661,273730.777,4271.36,31,2009.3,1972.2,46859,204456,111442,17701,19,2009.2,1972.3,13863,68597,67247,6115,30,2009.2,1972.2,247196,1252147,1407272,55982,27,2009.3,1972.3,214429,1060094,1267790,82840,27,2009.3,1972.3,5805,28795,42455,1807,22,2009.3,1978.4,0.398083888627755,0.645464060895247,0.219706319421706,13,2009.4,1980.1,15.4539411344519,19.94,10.72,21,2010.2,1980.1,230.266960098131,228.61593366916,230.3,45.5,49,2018.1,1971.2,24.1453755264425,0,0.476,50485.946,31,2010.4,0,0,14723,28,2010.3,0,0,239008,30,2010.4,0,1,11481,29.5,2011.1,3493.76300712859,41,51,497633.46643,22,239661.661,25,131625730.24,20,20432959.235,30,946.831137162452,23,2.28785713622553,17,0.428710845520289,39,7000,51.5,594739.6942,29,0.536087866830964,43,"0.21","41",29.7789654825099,34,0,27.5,0,1,1,1,0,27.5,2202971.556,32307219.639,0.710646875635877,47,4.86293716963782,15,164.241666666667,13,19.347,27,11.7795930793038,50,19.347,27,11.7795930793038,50,2652.33,20,3377.417,15,"Arizona",19923,109042474.872,"0.54","39",26682797.565,20,110940711.588149,0.914196584904065,4.82493015354335,24.3519230769231,24.3519230769231,160.948333333333,2673.406,3335.86266666667,15.1302735310026,15.1302735310026,134.615,133.76925,19,3297.75818,0,27.5,29,0,"N.A."
"CA","2018.1",2018,1,1411653.451,5200303.424,2960485.663,125689.496,1,2009.2,1973.3,574652,2226636,1102180,409677,1,1992.1,1973.2,262587,909866,532050,152420,1,2009.1,1973.2,4900105,18202554,10868329,1563687,1,2009.2,1973.3,4391146,16276706,9743104,2184142,1,2009.2,1973.3,111922,454123,310947,48106,1,2009.3,1973.4,0.478360069648901,0.629990612787222,0.237181300931251,3,2010.1,1979.2,17.889124332594,21.46,12.43,7,2010.1,1979.1,326.822770042663,326.043009506873,326.8,53.9,33,2018.1,1971.3,26.2350007322694,8.46,24.194,634938.169,2,2010.4,1,4,145196,2,1975.2,18,48,2024583,3,2011.1,1,4,95364,4,2010.4,5715.46076455214,17,45,5998082.68868,1,5200303.42538461,1,1079152681.092,1,126567323.517,1,1242.77873225227,5,4.42446704756923,2,0.635512436446969,24,7000,51.5,50111.62315,52,0.00556219532567359,53,"N.A.","N.A.",0.115635459851198,53,0,27.5,0,1,1,1,0,27.5,15000585.101,264211537.477,2.28923043360875,12,4.4652927008643,22,864.255333333333,1,381.502153846154,1,44.1422967417215,12,381.505076923077,1,44.1426349608577,12,16795.361,1,19354.9536666667,1,"California",211338,881167574.518,"N.A.","N.A.",215882069.552,1,900932459.503863,2.11621203927723,4.52400327980864,354.321769230769,354.316192307692,875.193,16698.81825,19345.3461666667,40.4849866521749,40.4843494300905,1391.202,1386.43825,1,157.13241,0,27.5,52,0,"N.A."
"CO","2018.1",2018,1,113958.027,419490.753,291780.723,2260.653,17,2009.2,1972.3,27185,105831,75813,10114,29,2009.1,1972.3,20681,69981,55037,3945,22,2009.1,1972.3,307183,1179692,1001220,52508,23,2010.1,1972.3,273823,1006962,825661,37409,23,2010.1,1972.3,7291,30529,31767,828,18,2009.3,1972.4,0.399327673934939,0.671452415418812,0.207054119663002,12,2009.3,1974.1,14.3890770351953,17.85,8.57,31,2010.2,1973.3,424.024294064346,424.359713268749,429.4,58.6,7,2017.4,1971.3,39.5350890386358,0,0,76036.898,31,2010.3,0,0,12936,28,2009.3,0,0,261471,30,2010.3,0,0,9515,29.5,2009.4,5994.3520812792,12,18,673480.2278,18,419490.753,15,141764879.133,17,32254211.512,16,1073.37487681903,10,1.98669472593245,21,0.537518771986695,31,12500,31,759011.6391,22,0.621852036956626,41,"0.5","26",21.712372928516,37,0,27.5,0,1,1,1,0,27.5,4387239.59,35416130.743,0.942843227432756,39,3.19728626870266,48,97.3623333333333,24,24.2603846153846,23,24.917628599066,33,24.2603846153846,23,24.917628599066,33,2576.283,21,3045.15533333333,21,"Colorado",14956,119213086.574,"0.6","36",29424118.294,15,122056629.872058,0.903309664698357,2.87530119758232,23.2400769230769,23.2400769230769,86.8505,2539.884,3019.18366666667,26.7587140236118,26.7587140236118,174.667,173.87275,15,4348.34684,0,27.5,24,0,"N.A."
"CT","2018.1",2018,1,223934.354,692772.241,361191.379,23568.076,12,2009.1,1973.4,54073,192497,161113,35597,17,1975.1,1988.2,38935,109066,92026,14892,14,1975.1,1987.2,599447,2005596,1148617,211103,13,2009.1,1987.4,588380,1881780,1157832,191037,12,1975.2,1987.4,8675,36020,33301,2849,15,2009.3,1980.1,0.321472239328139,0.488517132937748,0.123354922848311,27,2009.4,1979.2,17.2535895696184,20.82,10.15,10,2010.2,1974.1,402.805916281129,392.192888236175,402.8,61.3,9,2018.1,1971.3,30.8218565667702,0,0,111964.814,31,2010.3,0,0,27691,28,2010.2,0,0,262717,30,2011.1,0,0,16855,29.5,1976.2,6351.86255111584,8,37,764773.76083,13,692772.241,12,109233327.943,23,20701782.387,29,1272.4505656775,4,3.55595995184586,4,0.855584494402568,12,15000,22,307614.0566,44,0.358312965387851,45,"0.15","45",5.32840154488811,49,0,27.5,0,1,1,1,0,27.5,2525919.67,25166755.877,2.83108044573411,5,5.01367277226467,11,94.875,25,46.2346153846154,13,48.7321374277896,8,46.2346153846154,13,48.7321374277896,8,1645.124,28,1892.32533333333,28,"Connecticut",24652,86040256.201,"0.33","43",19770706.117,23,85850663.0556969,2.3404857974143,4.59400311921354,38.7060576923077,38.7060576923077,87.841,1650.8625,1912.03241666667,44.0637716923848,44.0637716923848,103.653,103.2665,25,2153.23521,0,27.5,42,0,"N.A."
"DC","2018.1",2018,1,32741.091,127664.248,58914.565,4732.328,45,2009.3,1971.4,7564,32656,18453,6005,50,1975.2,2000.2,5063,20648,11131,3184,48,1975.3,2000.2,106581,429479,217880,56052,44,2009.3,1973.4,98519,379526,201986,66758,44,1975.3,2000.4,2208,8851,6424,1310,42,2002.3,1971.1,0.427605198318759,0.937137119657746,0.374149413638338,9,2003.2,1979.2,18.3807632700504,23.24,15.61,3,1983.3,1971.1,344.290890257496,347.986482647465,350.9,57.8,23,2017.2,1971.1,21.3639051526078,0,0,13702.065,31,2009.3,0,0,4586,28,1976.1,0,0,51579,30,2009.3,0,0,4061,29.5,1976.2,6182.88686555599,9,53,160489.60807,42,127664.248,40,47591969.165,35,5273030.781,48,1628.85240391075,1,2.53142298127616,15,0.342087284455912,44,9000,42,421751.1083,37,1.06313565352214,27,"0.59","21",39.6431528708022,27,0,27.5,0,1,1,1,0,27.5,550827.201,11606976.039,1.47437695777108,27,5.62171348957621,4,22.7573333333333,44,8.52876923076923,44,37.4770150168557,17,8.52876923076923,44,37.4770150168557,17,564.123,44,404.811333333333,49,"District of Columbia",5560,39020074.427,"1.07","20",9399911.637,35,39670488.6062989,1.48032174022999,5.92191303875166,8.82936538461538,8.82936538461538,23.82275,561.8865,402.29525,37.0627462598373,37.0627462598373,34.448,33.862,43,2395.69709,0,27.5,37,0,"N.A."
"DE","2018.1",2018,1,20468.921,69391.211,56797.168,1884.385,48,2009.1,1972.4,9185,34957,31398,5794,47,1981.4,1973.2,4998,15265,17084,2130,49,1975.1,1987.2,88562,300473,249137,29241,48,1975.1,1987.4,80473,272979,225281,26548,48,1975.1,1987.4,1271,5249,6543,256,47,2009.3,1988.2,0.336022021637539,0.599239025498325,0.10495210923171,24,2010.2,1989.3,17.8826727808713,23.34,9.1,8,2010.1,1973.2,261.406153971112,261.039306326216,265.5,50.5,44,2009.2,1971.4,24.5229217634806,0,0,8254.949,31,2010.4,0,0,4689,28,1975.2,0,0,44046,30,1975.3,0,0,2528,29.5,1975.4,4545.77209302326,31,49,101351.72191,47,69391.211,48,24071614.766,45,6319872.758,46,1064.47065665297,12,1.50929614649688,33,0.505989049056263,33,18500,18,120651.2019,49,0.633239079936191,40,"0.26","38",20.8645216294035,39,0,27.5,0,1,1,1,0,27.5,898927.062,5831326.068,1.59537567672683,23,4.43425776734129,23,21.3006666666667,47,6.84338461538462,48,32.1275607119555,23,6.84338461538462,48,32.1275607119555,23,438.892,47,480.366,46,"Delaware",3513,18851316.284,"0.57","37",4459687.088,45,19053025.2668798,1.33330955202599,4.46967657089265,5.80603846153846,5.80603846153846,21.3985,434.87875,478.7205,27.1329226886859,27.1329226886859,30.053,29.2605,45,695.91253,0,27.5,49,0,"N.A."
"FL","2018.1",2018,1,87112.925,386909.588,826600.439,7872.824,20,2009.3,1973.2,80633,384355,341023,34339,13,2009.1,1972.4,37738,172252,185597,13559,15,2009.1,1973.1,458847,2079872,4041988,185092,14,2009.3,1973.1,354359,1590882,3540158,161460,18,2009.3,1973.1,21617,87033,137398,5076,7,2009.3,1973.2,0.515094842127068,0.739192547727315,0.337785255551254,2,2013.2,1984.3,9.23578245825883,20.68,9.21,51,2012.3,2017.4,249.283043254497,246.283466577938,249.3,38.1,47,2018.1,1971.1,26.9251012504784,0.094,2.802,299196.993,8,2009.3,0,0,110091,28,2009.3,0,0,1358184,30,2009.3,0,0,131795,29.5,1976.1,2246.18342892971,52,43,691995.63407,16,386909.588,18,395361813.093,4,63483716.821,8,914.698386040654,28,1.12634927475366,43,0.216351185941796,53,7000,51.5,3629502.332,3,1.0828965069055,26,"0.56","24",112.569006648654,2,0,27.5,0,1,1,1,0,27.5,6787341.756,94640333.675,0.422867368047723,53,3.90151075475893,35,397.856,4,35.5600769230769,14,8.93792651689981,51,35.5600769230769,14,8.93792651689981,51,8213.23,4,10197.4856666667,3,"Florida",47725,330503565.713,"1.04","22",79116426.296,4,335166131.652941,0.486473321173309,4.01355296982224,40.2961153846154,40.2961153846154,407.1815,8312.15175,10145.07975,9.89635221261658,9.89635221261658,545.34,540.6395,3,20282.58327,0,27.5,3,0,"N.A."
