st,CYQ,year,quarter,CYQ_Total_Wages,staxemp,CYQ_Taxable_Wages,AWW
AK,1971.1,1971,1,NA,NA,NA,NA
AK,1971.2,1971,2,NA,NA,NA,NA
AK,1971.3,1971,3,NA,NA,NA,NA
AK,1971.4,1971,4,NA,NA,NA,NA
AK,1972.1,1972,1,NA,NA,NA,NA
AK,1972.2,1972,2,NA,NA,NA,NA
AK,1972.3,1972,3,NA,NA,NA,NA
AK,1972.4,1972,4,NA,NA,NA,NA
AK,1973.1,1973,1,NA,NA,NA,NA
AK,1973.2,1973,2,NA,NA,NA,NA
AK,1973.3,1973,3,NA,NA,NA,NA
AK,1973.4,1973,4,NA,NA,NA,NA
AK,1974.1,1974,1,NA,NA,NA,NA
AK,1974.2,1974,2,NA,NA,NA,NA
AK,1974.3,1974,3,203990.379,201376.234,188245.708,58.20487112
AK,1974.4,1974,4,293684.735,281453.532,243884.217,125.1772273
AK,1975.1,1975,1,407105.098,395826.631,266216.192,205.4498876
AK,1975.2,1975,2,423536.877,410089.023,216159.692,290.9444543
AK,1975.3,1975,3,441986.099,428547.484,402959.503,317.7438301
AK,1975.4,1975,4,589154.32,574532.358,400381.494,347.5393863
AK,1976.1,1976,1,765389.037,748991.155,402630.42,382.3585605
AK,1976.2,1976,2,726445.598,708011.25,288105.149,409.1983532
AK,1976.3,1976,3,611859.007,594031.047,549594.546,420.2109572
AK,1976.4,1976,4,818653.679,800254.68,468636.74,442.9502988
AK,1977.1,1977,1,995449.958,977861.79,393824.638,468.1954579
AK,1977.2,1977,2,819850.954,798037.491,247912.98,485.1460115
AK,1977.3,1977,3,640188.479,617935.057,546781.693,490.6005653
AK,1977.4,1977,4,722442.775,705502.507,395878.124,483.5137267
AK,1978.1,1978,1,706659.21,684602.231,315579.833,456.6211998
AK,1978.2,1978,2,629393.738,602185.232,192787.748,430.2156403
AK,1978.3,1978,3,656902.622,518556.118,461181.836,416.9022771
AK,1978.4,1978,4,738003.527,574757.478,335626.676,403.5929767
AK,1979.1,1979,1,791219.594,643444.401,285410.842,397.3237991
AK,1979.2,1979,2,725852.562,568264.9,172319.614,393.202343
AK,1979.3,1979,3,684233.955,506464,452872.97,393.5074809
AK,1979.4,1979,4,768247.879,569977.681,329765.731,394.5761403
AK,1980.1,1980,1,829316.472,666811.915,295325.645,397.4085726
AK,1980.2,1980,2,801353.021,607990.522,173186.874,404.4273275
AK,1980.3,1980,3,767777.323,555645.181,490432.615,414.9734408
AK,1980.4,1980,4,869303.337,641513.325,338975.042,426.7982606
AK,1981.1,1981,1,951006.252,762597.689,317035.97,438.1569152
AK,1981.2,1981,2,965138.966,736331.104,199446.321,453.2836711
AK,1981.3,1981,3,885503.225,647627.887,584731.925,461.5892332
AK,1981.4,1981,4,1066479.622,797721.626,486177.352,474.5140612
AK,1982.1,1982,1,1177478.796,953568.271,452413.376,488.803413
AK,1982.2,1982,2,1173609.958,897445.858,288049.842,501.1605349
AK,1982.3,1982,3,1081760.926,816325.221,745481.342,511.5754144
AK,1982.4,1982,4,1261828.655,947898.829,589502.32,524.2431716
AK,1983.1,1983,1,1397001.705,1129450.926,545152.987,535.0386122
AK,1983.2,1983,2,1328959.869,1010960.558,331173.607,543.5316426
AK,1983.3,1983,3,1218272.014,909517.784,860731.513,548.228036
AK,1983.4,1983,4,1387225.594,1045987.876,784866.297,549.9023785
AK,1984.1,1984,1,1543929.375,1247139.441,721530.368,556.5202339
AK,1984.2,1984,2,1444103.96,1092847.264,452269.946,557.3979097
AK,1984.3,1984,3,1347961.909,1007400.808,952500.145,561.2591606
AK,1984.4,1984,4,1468892.173,1097318.93,837705.555,562.8926608
AK,1985.1,1985,1,1559535.689,1255393.045,751317.046,559.2329484
AK,1985.2,1985,2,1471108.948,1098466.385,480269.512,556.7001454
AK,1985.3,1985,3,1371855.158,996345.755,943207.408,554.0983143
AK,1985.4,1985,4,1512664.685,1093486.485,845215.506,553.4659413
AK,1986.1,1986,1,1597822.244,1260465.973,766235.9,552.6632521
AK,1986.2,1986,2,1498590.409,1093207.953,470630.384,553.7308788
AK,1986.3,1986,3,1349154.954,952097.807,907205.45,552.3179199
AK,1986.4,1986,4,1441258.869,998624.018,774659.556,551.5376358
AK,1987.1,1987,1,1462002.068,1123711.305,673648.124,548.540256
AK,1987.2,1987,2,1379870.589,985558.505,410975.013,547.4538741
AK,1987.3,1987,3,1203850.66,828756.146,791193.422,543.6910955
AK,1987.4,1987,4,1334074.705,912142.247,714961.615,540.5755921
AK,1988.1,1988,1,1363125.727,1045099.447,622997.559,539.0842028
AK,1988.2,1988,2,1319187.522,937247.284,388676.333,536.8614779
AK,1988.3,1988,3,1206131.942,835995.933,798726.739,537.4826903
AK,1988.4,1988,4,1341150.414,939800.702,719767.835,537.3209127
AK,1989.1,1989,1,1415040.313,1080074.084,640051.732,536.7020241
AK,1989.2,1989,2,1355062.923,968169.884,393350.892,535.1227827
AK,1989.3,1989,3,1287877.79,894981,860952.975,537.3291282
AK,1989.4,1989,4,1548960.521,1123083.561,868131.745,546.8380442
AK,1990.1,1990,1,1692300.707,1340604.955,801446.323,562.1703791
AK,1990.2,1990,2,1509400.682,1096312.6,436186.479,569.5831756
AK,1990.3,1990,3,1425781.734,1008072.193,963011.526,574.1925712
AK,1990.4,1990,4,1621493.949,1167531.331,871888.597,572.9893947
AK,1991.1,1991,1,1693207.935,1314506.824,749295.809,567.6888161
AK,1991.2,1991,2,1637660.169,1204183.287,455265.256,572.0450443
AK,1991.3,1991,3,1523799.782,1081622.843,1039437.803,575.7650264
AK,1991.4,1991,4,1681724.683,1210603.525,908311.915,579.5825207
AK,1992.1,1992,1,1768287.866,1362413.4,777539.985,583.6583716
AK,1992.2,1992,2,1690848.818,1225068.212,458830.74,587.7636251
AK,1992.3,1992,3,1608074.786,1139032.558,1086609.156,592.2605368
AK,1992.4,1992,4,1746280.431,1237381.704,923542.919,594.8137263
AK,1993.1,1993,1,1830870.357,1409186.185,789016.009,597.8305656
AK,1993.2,1993,2,1795331.527,1293099.856,465318.627,605.2093355
AK,1993.3,1993,3,1626336.203,1149768.095,1092439.719,604.9638679
AK,1993.4,1993,4,1821903.744,1292422.088,972095.299,609.2830219
AK,1994.1,1994,1,1904570.469,1479847.044,838285.025,613.370345
AK,1994.2,1994,2,1870354.134,1352006.447,503142.957,613.3518076
AK,1994.3,1994,3,1715326.55,1227735.206,1167584.427,615.3316752
AK,1994.4,1994,4,1889004.871,1332775.839,1006144.018,616.7962034
AK,1995.1,1995,1,2019981.29,1574557.252,897378.955,620.4326404
AK,1995.2,1995,2,1905807.796,1392513.335,521542.412,620.1089387
AK,1995.3,1995,3,1798830.544,1292436.548,1220042.532,624.6396906
AK,1995.4,1995,4,1943368.356,1387306.681,1034666.431,624.8585539
AK,1996.1,1996,1,2009302.716,1574804.594,912405.706,620.652893
AK,1996.2,1996,2,1907318.624,1389846.845,532103.325,619.1801633
AK,1996.3,1996,3,1802474.119,1323548.674,1223131.945,618.4010398
AK,1996.4,1996,4,1935923.544,1396391.009,1058088.376,616.5678914
AK,1997.1,1997,1,1996929.431,1582081.519,917503.055,615.1094989
