State,CYQ,Year,Quarter,Benefit,Benefit in a year,Benefit Rank,Average Weekly Benefit,High Benefit Date
AK,1971.1,1971,1,5145.005,5145.005,9312,60313.325,2010.1
AK,1971.2,1971,2,3956.075,9101.08,9523,60313.325,2010.1
AK,1971.3,1971,3,1662.845,10763.925,9846,60313.325,2010.1
AK,1971.4,1971,4,2519.983,13283.908,9725,60313.325,2010.1
AK,1972.1,1972,1,5716.449,13855.352,9221,60313.325,2010.1
AK,1972.2,1972,2,4682.486,14581.763,9400,60313.325,2010.1
AK,1972.3,1972,3,2204.616,15123.534,9767,60313.325,2010.1
AK,1972.4,1972,4,3375.061,15978.612,9607,60313.325,2010.1
AK,1973.1,1973,1,6290.563,16552.726,9131,60313.325,2010.1
AK,1973.2,1973,2,4467.994,16338.234,9432,60313.325,2010.1
AK,1973.3,1973,3,2579.376,16712.994,9715,60313.325,2010.1
AK,1973.4,1973,4,5021.807,18359.74,9336,60313.325,2010.1
AK,1974.1,1974,1,9428.542,21497.719,8698,60313.325,2010.1
AK,1974.2,1974,2,6071.813,23101.538,9160,60313.325,2010.1
AK,1974.3,1974,3,3010.959,23533.121,9650,60313.325,2010.1
AK,1974.4,1974,4,4616.326,23127.64,9409,60313.325,2010.1
AK,1975.1,1975,1,9261.641,22960.739,8720,60313.325,2010.1
AK,1975.2,1975,2,7009.832,23898.758,9026,60313.325,2010.1
AK,1975.3,1975,3,4637.432,25525.231,9407,60313.325,2010.1
AK,1975.4,1975,4,7877.055,28785.96,8918,60313.325,2010.1
AK,1976.1,1976,1,16788.929,36313.248,7752,60313.325,2010.1
AK,1976.2,1976,2,12123.848,41427.264,8344,60313.325,2010.1
AK,1976.3,1976,3,10515.689,47305.521,8546,60313.325,2010.1
AK,1976.4,1976,4,13855.468,53283.934,8134,60313.325,2010.1
AK,1977.1,1977,1,27986.471,64481.476,6526,60313.325,2010.1
AK,1977.2,1977,2,21158.743,73516.371,7216,60313.325,2010.1
AK,1977.3,1977,3,14636.558,77637.24,8019,60313.325,2010.1
AK,1977.4,1977,4,18303.241,82085.013,7562,60313.325,2010.1
AK,1978.1,1978,1,25456.129,79554.671,6766,60313.325,2010.1
AK,1978.2,1978,2,19421.057,77816.985,7422,60313.325,2010.1
AK,1978.3,1978,3,11596.39,74776.817,8403,60313.325,2010.1
AK,1978.4,1978,4,14656.743,71130.319,8015,60313.325,2010.1
AK,1979.1,1979,1,18358.47,64032.66,7554,60313.325,2010.1
AK,1979.2,1979,2,14234.104,58845.707,8086,60313.325,2010.1
AK,1979.3,1979,3,9491.221,56740.538,8690,60313.325,2010.1
AK,1979.4,1979,4,11442.164,53525.959,8423,60313.325,2010.1
AK,1980.1,1980,1,14987.158,50154.647,7981,60313.325,2010.1
AK,1980.2,1980,2,11738.308,47658.851,8389,60313.325,2010.1
AK,1980.3,1980,3,8638.712,46806.342,8805,60313.325,2010.1
AK,1980.4,1980,4,13131.547,48495.725,8224,60313.325,2010.1
AK,1981.1,1981,1,25478.019,58986.586,6761,60313.325,2010.1
AK,1981.2,1981,2,14773.838,62022.116,8003,60313.325,2010.1
AK,1981.3,1981,3,12312.352,65695.756,8329,60313.325,2010.1
AK,1981.4,1981,4,17036.014,69600.223,7719,60313.325,2010.1
AK,1982.1,1982,1,24037.736,68159.94,6913,60313.325,2010.1
AK,1982.2,1982,2,17708.961,71095.063,7640,60313.325,2010.1
AK,1982.3,1982,3,14046.578,72829.289,8108,60313.325,2010.1
AK,1982.4,1982,4,19091.707,74884.982,7461,60313.325,2010.1
AK,1983.1,1983,1,28304.919,79152.165,6496,60313.325,2010.1
AK,1983.2,1983,2,20870.506,82313.71,7242,60313.325,2010.1
AK,1983.3,1983,3,14562.675,82829.807,8033,60313.325,2010.1
AK,1983.4,1983,4,20069.659,83807.759,7345,60313.325,2010.1
AK,1984.1,1984,1,30765.212,86268.052,6245,60313.325,2010.1
AK,1984.2,1984,2,22055.231,87452.777,7133,60313.325,2010.1
AK,1984.3,1984,3,14884.159,87774.261,7988,60313.325,2010.1
AK,1984.4,1984,4,22473.119,90177.721,7083,60313.325,2010.1
AK,1985.1,1985,1,37129.854,96542.363,5695,60313.325,2010.1
AK,1985.2,1985,2,30024.694,104511.826,6308,60313.325,2010.1
